"","Município","0 a 2","3 a 5","6 a 7","8 a 10","Ignorado","Total","Ano"
"594","210825 PEDRO DO ROSARIO",2,68,77,103,117,367,"2010"
"595","210830 PENALVA",0,1,7,589,96,693,"2010"
"596","210840 PERI MIRIM",0,1,4,112,40,157,"2010"
"597","210845 PERITORO",2,3,11,346,37,399,"2010"
"598","210850 PINDARE-MIRIM",1,4,10,610,17,642,"2010"
"599","210860 PINHEIRO",4,18,40,1330,152,1544,"2010"
"600","210870 PIO XII",1,5,5,537,2,550,"2010"
"601","210880 PIRAPEMAS",0,0,0,18,313,331,"2010"
"602","210890 POCAO DE PEDRAS",0,1,2,308,1,312,"2010"
"603","210900 PORTO FRANCO",1,2,6,427,2,438,"2010"
"604","210905 PORTO RICO DO MARANHAO",1,0,0,14,77,92,"2010"
"605","210910 PRESIDENTE DUTRA",11,1,2,849,2,865,"2010"
"606","210920 PRESIDENTE JUSCELINO",0,0,4,132,75,211,"2010"
"607","210923 PRESIDENTE MEDICI",0,1,3,92,3,99,"2010"
"608","210927 PRESIDENTE SARNEY",0,3,9,271,54,337,"2010"
"609","210930 PRESIDENTE VARGAS",0,0,14,59,127,200,"2010"
"610","210940 PRIMEIRA CRUZ",0,1,2,108,99,210,"2010"
"611","210945 RAPOSA",2,2,12,535,7,558,"2010"
"612","210950 RIACHAO",0,1,4,28,371,404,"2010"
"613","210955 RIBAMAR FIQUENE",0,0,2,117,4,123,"2010"
"614","210960 ROSARIO",1,5,18,612,29,665,"2010"
"615","210970 SAMBAIBA",0,4,16,12,11,43,"2010"
"616","210975 SANTA FILOMENA DO MARANHAO",0,5,1,102,0,108,"2010"
"617","210980 SANTA HELENA",0,1,4,135,363,503,"2010"
"618","210990 SANTA INES",2,11,66,1646,26,1751,"2010"
"619","211000 SANTA LUZIA",1,16,24,1170,260,1471,"2010"
"620","211003 SANTA LUZIA DO PARUA",0,1,2,408,4,415,"2010"
"621","211010 SANTA QUITERIA DO MARANHAO",2,1,8,492,25,528,"2010"
"622","211020 SANTA RITA",3,15,90,411,17,536,"2010"
"623","211023 SANTANA DO MARANHAO",0,1,0,100,36,137,"2010"
"624","211027 SANTO AMARO DO MARANHAO",0,0,2,53,114,169,"2010"
"625","211030 SANTO ANTONIO DOS LOPES",0,0,1,61,202,264,"2010"
"626","211040 SAO BENEDITO DO RIO PRETO",0,0,3,46,356,405,"2010"
"627","211050 SAO BENTO",2,0,0,559,63,624,"2010"
"628","211060 SAO BERNARDO",0,1,3,544,5,553,"2010"
"629","211065 SAO DOMINGOS DO AZEITAO",0,0,2,1,129,132,"2010"
"630","211070 SAO DOMINGOS DO MARANHAO",2,2,7,552,116,679,"2010"
"631","211080 SAO FELIX DE BALSAS",0,0,0,3,46,49,"2010"
"632","211085 SAO FRANCISCO DO BREJAO",0,0,1,125,8,134,"2010"
"633","211090 SAO FRANCISCO DO MARANHAO",0,1,6,154,8,169,"2010"
"634","211100 SAO JOAO BATISTA",22,84,77,77,52,312,"2010"
"635","211102 SAO JOAO DO CARU",2,4,18,310,37,371,"2010"
"636","211105 SAO JOAO DO PARAISO",0,0,2,171,1,174,"2010"
"637","211107 SAO JOAO DO SOTER",0,0,2,243,13,258,"2010"
"638","211110 SAO JOAO DOS PATOS",1,1,13,368,8,391,"2010"
"639","211120 SAO JOSE DE RIBAMAR",6,11,53,2323,56,2449,"2010"
"640","211125 SAO JOSE DOS BASILIOS",1,0,2,92,2,97,"2010"
"641","211130 SAO LUIS",77,67,345,16515,291,17295,"2010"
"642","211140 SAO LUIS GONZAGA DO MARANHAO",3,5,5,331,15,359,"2010"
"643","211150 SAO MATEUS DO MARANHAO",0,4,63,683,4,754,"2010"
"644","211153 SAO PEDRO DA AGUA BRANCA",0,1,7,166,1,175,"2010"
"645","211157 SAO PEDRO DOS CRENTES",0,0,3,71,2,76,"2010"
"646","211160 SAO RAIMUNDO DAS MANGABEIRAS",1,0,0,6,370,377,"2010"
"647","211163 SAO RAIMUNDO DO DOCA BEZERRA",0,0,0,88,10,98,"2010"
"648","211167 SAO ROBERTO",0,0,0,89,6,95,"2010"
"649","211170 SAO VICENTE FERRER",0,1,0,24,327,352,"2010"
"650","211172 SATUBINHA",0,0,2,115,3,120,"2010"
"651","211174 SENADOR ALEXANDRE COSTA",2,1,5,117,60,185,"2010"
"652","211176 SENADOR LA ROCQUE",0,1,8,284,34,327,"2010"
"653","211178 SERRANO DO MARANHAO",0,0,0,51,93,144,"2010"
"654","211180 SITIO NOVO",0,1,8,269,3,281,"2010"
"655","211190 SUCUPIRA DO NORTE",0,1,9,123,40,173,"2010"
"656","211195 SUCUPIRA DO RIACHAO",0,0,0,86,3,89,"2010"
"657","211200 TASSO FRAGOSO",2,0,1,102,29,134,"2010"
"658","211210 TIMBIRAS",3,3,13,402,26,447,"2010"
"659","211220 TIMON",8,8,27,2601,7,2651,"2010"
"660","211223 TRIZIDELA DO VALE",2,1,6,327,5,341,"2010"
"661","211227 TUFILANDIA",0,0,5,121,7,133,"2010"
"662","211230 TUNTUM",1,0,9,632,7,649,"2010"
"663","211240 TURIACU",0,1,0,11,683,695,"2010"
"664","211245 TURILANDIA",0,2,8,152,191,353,"2010"
"665","211250 TUTOIA",37,16,27,561,435,1076,"2010"
"666","211260 URBANO SANTOS",0,3,14,125,575,717,"2010"
"667","211270 VARGEM GRANDE",1,3,6,185,688,883,"2010"
"668","211280 VIANA",7,4,25,651,227,914,"2010"
"669","211285 VILA NOVA DOS MARTIRIOS",0,0,10,125,11,146,"2010"
"670","211290 VITORIA DO MEARIM",3,2,7,332,244,588,"2010"
"671","211300 VITORINO FREIRE",0,2,16,507,15,540,"2010"
"672","211400 ZE DOCA",4,6,26,809,13,858,"2010"
"673","220005 ACAUA",1,1,4,81,5,92,"2010"
"674","220010 AGRICOLANDIA",1,0,0,62,4,67,"2010"
"675","220020 AGUA BRANCA",1,0,3,209,41,254,"2010"
"676","220025 ALAGOINHA DO PIAUI",0,0,0,88,0,88,"2010"
"677","220027 ALEGRETE DO PIAUI",0,0,1,66,0,67,"2010"
"678","220030 ALTO LONGA",0,1,2,133,4,140,"2010"
"679","220040 ALTOS",3,3,6,527,111,650,"2010"
"680","220045 ALVORADA DO GURGUEIA",0,0,0,9,90,99,"2010"
"681","220050 AMARANTE",1,4,12,289,7,313,"2010"
"682","220060 ANGICAL DO PIAUI",1,1,0,81,18,101,"2010"
"683","220070 ANISIO DE ABREU",0,0,0,21,107,128,"2010"
"684","220080 ANTONIO ALMEIDA",0,1,0,18,20,39,"2010"
"685","220090 AROAZES",0,0,3,70,7,80,"2010"
"686","220095 AROEIRAS DO ITAIM",0,1,1,30,0,32,"2010"
"687","220100 ARRAIAL",0,1,5,54,2,62,"2010"
"688","220105 ASSUNCAO DO PIAUI",0,0,0,117,55,172,"2010"
"689","220110 AVELINO LOPES",0,0,6,172,19,197,"2010"
"690","220115 BAIXA GRANDE DO RIBEIRO",0,0,1,13,179,193,"2010"
"691","220117 BARRA D'ALCANTARA",0,0,0,59,1,60,"2010"
"692","220120 BARRAS",7,3,14,754,9,787,"2010"
"693","220130 BARREIRAS DO PIAUI",0,0,0,18,26,44,"2010"
"694","220140 BARRO DURO",1,0,1,97,7,106,"2010"
"695","220150 BATALHA",0,6,6,312,9,333,"2010"
"696","220155 BELA VISTA DO PIAUI",0,1,1,47,0,49,"2010"
"697","220157 BELEM DO PIAUI",0,0,3,46,2,51,"2010"
"698","220160 BENEDITINOS",2,1,1,129,6,139,"2010"
"699","220170 BERTOLINIA",0,2,6,64,13,85,"2010"
"700","220173 BETANIA DO PIAUI",0,1,2,100,5,108,"2010"
"701","220177 BOA HORA",0,1,1,78,39,119,"2010"
"702","220180 BOCAINA",0,0,0,45,1,46,"2010"
"703","220190 BOM JESUS",0,1,0,20,404,425,"2010"
"704","220191 BOM PRINCIPIO DO PIAUI",0,1,2,108,6,117,"2010"
"705","220192 BONFIM DO PIAUI",0,1,1,8,64,74,"2010"
"706","220194 BOQUEIRAO DO PIAUI",0,1,0,66,56,123,"2010"
"707","220196 BRASILEIRA",1,0,1,76,22,100,"2010"
"708","220198 BREJO DO PIAUI",0,0,1,59,2,62,"2010"
"709","220200 BURITI DOS LOPES",2,2,4,323,2,333,"2010"
"710","220202 BURITI DOS MONTES",0,0,0,38,66,104,"2010"
"711","220205 CABECEIRAS DO PIAUI",2,0,0,124,39,165,"2010"
"712","220207 CAJAZEIRAS DO PIAUI",1,0,0,45,0,46,"2010"
"713","220208 CAJUEIRO DA PRAIA",0,1,0,89,0,90,"2010"
"714","220209 CALDEIRAO GRANDE DO PIAUI",0,1,5,74,6,86,"2010"
"715","220210 CAMPINAS DO PIAUI",0,0,0,79,6,85,"2010"
"716","220211 CAMPO ALEGRE DO FIDALGO",0,0,2,68,3,73,"2010"
"717","220213 CAMPO GRANDE DO PIAUI",1,2,1,91,0,95,"2010"
"718","220217 CAMPO LARGO DO PIAUI",0,2,0,106,7,115,"2010"
"719","220220 CAMPO MAIOR",0,2,5,476,317,800,"2010"
"720","220225 CANAVIEIRA",0,0,3,27,11,41,"2010"
"721","220230 CANTO DO BURITI",2,1,8,251,15,277,"2010"
"722","220240 CAPITAO DE CAMPOS",0,0,0,94,64,158,"2010"
"723","220245 CAPITAO GERVASIO OLIVEIRA",1,2,1,57,2,63,"2010"
"724","220250 CARACOL",0,0,0,22,141,163,"2010"
"725","220253 CARAUBAS DO PIAUI",0,0,0,83,1,84,"2010"
"726","220255 CARIDADE DO PIAUI",0,1,2,93,2,98,"2010"
"727","220260 CASTELO DO PIAUI",0,1,2,36,301,340,"2010"
"728","220265 CAXINGO",0,0,2,71,2,75,"2010"
"729","220270 COCAL",1,2,11,412,13,439,"2010"
"730","220271 COCAL DE TELHA",0,0,1,64,21,86,"2010"
"731","220272 COCAL DOS ALVES",1,2,1,78,0,82,"2010"
"732","220273 COIVARAS",0,0,0,45,13,58,"2010"
"733","220275 COLONIA DO GURGUEIA",0,1,6,68,21,96,"2010"
"734","220277 COLONIA DO PIAUI",0,1,2,82,0,85,"2010"
"735","220280 CONCEICAO DO CANINDE",2,0,1,66,2,71,"2010"
"736","220285 CORONEL JOSE DIAS",0,0,1,3,43,47,"2010"
"737","220290 CORRENTE",0,1,3,205,217,426,"2010"
"738","220300 CRISTALANDIA DO PIAUI",0,0,1,60,26,87,"2010"
"739","220310 CRISTINO CASTRO",0,0,0,4,175,179,"2010"
"740","220320 CURIMATA",3,0,4,162,25,194,"2010"
"741","220323 CURRAIS",0,0,0,0,99,99,"2010"
"742","220325 CURRALINHOS",1,0,1,61,1,64,"2010"
"743","220327 CURRAL NOVO DO PIAUI",0,0,1,68,6,75,"2010"
"744","220330 DEMERVAL LOBAO",0,0,0,164,11,175,"2010"
"745","220335 DIRCEU ARCOVERDE",0,0,0,22,61,83,"2010"
"746","220340 DOM EXPEDITO LOPES",1,0,0,79,0,80,"2010"
"747","220342 DOMINGOS MOURAO",0,0,1,56,26,83,"2010"
"748","220345 DOM INOCENCIO",0,0,1,27,74,102,"2010"
"749","220350 ELESBAO VELOSO",0,0,6,173,1,180,"2010"
"750","220360 ELISEU MARTINS",0,0,5,53,4,62,"2010"
"751","220370 ESPERANTINA",0,2,9,649,6,666,"2010"
"752","220375 FARTURA DO PIAUI",0,0,0,21,63,84,"2010"
"753","220380 FLORES DO PIAUI",0,1,3,72,0,76,"2010"
"754","220385 FLORESTA DO PIAUI",1,0,0,25,1,27,"2010"
"755","220390 FLORIANO",2,8,67,910,5,992,"2010"
"756","220400 FRANCINOPOLIS",0,0,2,84,0,86,"2010"
"757","220410 FRANCISCO AYRES",0,1,3,58,0,62,"2010"
"758","220415 FRANCISCO MACEDO",0,0,2,40,2,44,"2010"
"759","220420 FRANCISCO SANTOS",0,2,5,119,2,128,"2010"
"760","220430 FRONTEIRAS",1,0,1,133,0,135,"2010"
"761","220435 GEMINIANO",0,0,2,70,0,72,"2010"
"762","220440 GILBUES",0,1,0,119,72,192,"2010"
"763","220450 GUADALUPE",1,1,3,79,102,186,"2010"
"764","220455 GUARIBAS",0,0,0,6,58,64,"2010"
"765","220460 HUGO NAPOLEAO",0,0,1,59,5,65,"2010"
"766","220465 ILHA GRANDE",0,0,0,146,1,147,"2010"
"767","220470 INHUMA",2,1,3,199,2,207,"2010"
"768","220480 IPIRANGA DO PIAUI",0,0,6,120,3,129,"2010"
"769","220490 ISAIAS COELHO",1,2,3,123,9,138,"2010"
"770","220500 ITAINOPOLIS",2,1,4,109,2,118,"2010"
"771","220510 ITAUEIRA",0,1,10,142,0,153,"2010"
"772","220515 JACOBINA DO PIAUI",0,0,3,72,6,81,"2010"
"773","220520 JAICOS",0,0,10,283,3,296,"2010"
"774","220525 JARDIM DO MULATO",0,0,1,49,1,51,"2010"
"775","220527 JATOBA DO PIAUI",0,0,1,56,24,81,"2010"
"776","220530 JERUMENHA",0,0,4,59,5,68,"2010"
"777","220535 JOAO COSTA",1,0,0,43,3,47,"2010"
"778","220540 JOAQUIM PIRES",0,2,1,207,11,221,"2010"
"779","220545 JOCA MARQUES",0,1,1,93,1,96,"2010"
"780","220550 JOSE DE FREITAS",1,6,10,544,3,564,"2010"
"781","220551 JUAZEIRO DO PIAUI",0,0,2,53,39,94,"2010"
"782","220552 JULIO BORGES",0,0,0,49,22,71,"2010"
"783","220553 JUREMA",0,0,0,14,61,75,"2010"
"784","220554 LAGOINHA DO PIAUI",1,0,1,37,4,43,"2010"
"785","220555 LAGOA ALEGRE",0,0,0,66,27,93,"2010"
"786","220556 LAGOA DO BARRO DO PIAUI",1,0,1,51,7,60,"2010"
"787","220557 LAGOA DE SAO FRANCISCO",0,2,4,78,2,86,"2010"
"788","220558 LAGOA DO PIAUI",1,2,0,51,3,57,"2010"
"789","220559 LAGOA DO SITIO",1,1,0,68,0,70,"2010"
"790","220560 LANDRI SALES",0,1,2,63,14,80,"2010"
"791","220570 LUIS CORREIA",2,2,9,440,8,461,"2010"
"792","220580 LUZILANDIA",0,4,13,396,7,420,"2010"
"793","220585 MADEIRO",0,0,5,126,2,133,"2010"
"794","220590 MANOEL EMIDIO",3,7,8,51,0,69,"2010"
"795","220595 MARCOLANDIA",0,2,4,131,0,137,"2010"
"796","220600 MARCOS PARENTE",0,0,5,75,0,80,"2010"
"797","220605 MASSAPE DO PIAUI",0,1,2,74,3,80,"2010"
"798","220610 MATIAS OLIMPIO",1,4,6,180,1,192,"2010"
"799","220620 MIGUEL ALVES",3,2,4,481,104,594,"2010"
"800","220630 MIGUEL LEAO",0,0,0,17,1,18,"2010"
"801","220635 MILTON BRANDAO",0,0,5,79,3,87,"2010"
"802","220640 MONSENHOR GIL",0,0,0,109,10,119,"2010"
"803","220650 MONSENHOR HIPOLITO",0,2,1,109,2,114,"2010"
"804","220660 MONTE ALEGRE DO PIAUI",1,1,3,96,72,173,"2010"
"805","220665 MORRO CABECA NO TEMPO",2,1,3,71,14,91,"2010"
"806","220667 MORRO DO CHAPEU DO PIAUI",1,0,3,80,1,85,"2010"
"807","220669 MURICI DOS PORTELAS",0,0,2,102,5,109,"2010"
"808","220670 NAZARE DO PIAUI",0,0,4,100,0,104,"2010"
"809","220672 NAZARIA",0,0,1,114,1,116,"2010"
"810","220675 NOSSA SENHORA DE NAZARE",0,0,0,47,13,60,"2010"
"811","220680 NOSSA SENHORA DOS REMEDIOS",1,1,4,133,47,186,"2010"
"812","220690 NOVO ORIENTE DO PIAUI",0,1,0,81,3,85,"2010"
"813","220695 NOVO SANTO ANTONIO",0,1,1,28,0,30,"2010"
"814","220700 OEIRAS",5,4,6,520,5,540,"2010"
"815","220710 OLHO D'AGUA DO PIAUI",0,0,0,38,7,45,"2010"
"816","220720 PADRE MARCOS",0,2,4,76,6,88,"2010"
"817","220730 PAES LANDIM",1,2,1,60,0,64,"2010"
"818","220735 PAJEU DO PIAUI",0,0,1,31,0,32,"2010"
"819","220740 PALMEIRA DO PIAUI",0,0,0,1,88,89,"2010"
"820","220750 PALMEIRAIS",0,1,3,175,34,213,"2010"
"821","220755 PAQUETA",0,0,0,48,0,48,"2010"
"822","220760 PARNAGUA",0,1,0,42,145,188,"2010"
"823","220770 PARNAIBA",5,13,22,2140,8,2188,"2010"
"824","220775 PASSAGEM FRANCA DO PIAUI",1,0,0,68,5,74,"2010"
"825","220777 PATOS DO PIAUI",0,1,3,74,7,85,"2010"
"826","220779 PAU D'ARCO DO PIAUI",0,0,0,35,4,39,"2010"
"827","220780 PAULISTANA",1,3,5,288,32,329,"2010"
"828","220785 PAVUSSU",0,1,2,41,0,44,"2010"
"829","220790 PEDRO II",2,3,14,514,11,544,"2010"
"830","220793 PEDRO LAURENTINO",0,0,1,34,0,35,"2010"
"831","220795 NOVA SANTA RITA",0,1,2,58,0,61,"2010"
"832","220800 PICOS",5,5,23,1117,5,1155,"2010"
"833","220810 PIMENTEIRAS",1,1,2,133,5,142,"2010"
"834","220820 PIO IX",2,3,11,268,1,285,"2010"
"835","220830 PIRACURUCA",3,3,4,371,11,392,"2010"
"836","220840 PIRIPIRI",3,7,3,709,199,921,"2010"
"837","220850 PORTO",1,2,5,217,4,229,"2010"
"838","220855 PORTO ALEGRE DO PIAUI",0,1,3,32,2,38,"2010"
"839","220860 PRATA DO PIAUI",1,1,1,32,2,37,"2010"
"840","220865 QUEIMADA NOVA",0,0,2,79,8,89,"2010"
"841","220870 REDENCAO DO GURGUEIA",0,0,1,8,155,164,"2010"
"842","220880 REGENERACAO",0,2,4,290,9,305,"2010"
"843","220885 RIACHO FRIO",0,1,1,42,54,98,"2010"
