"","Município","0 a 2","3 a 5","6 a 7","8 a 10","Ignorado","Total","Ano"
"39383","150747 SAO JOAO DE PIRABAS",1,2,1,302,3,309,"2017"
"39384","150750 SAO JOAO DO ARAGUAIA",0,0,1,166,3,170,"2017"
"39385","150760 SAO MIGUEL DO GUAMA",3,2,12,928,12,957,"2017"
"39386","150770 SAO SEBASTIAO DA BOA VISTA",2,6,22,489,1,520,"2017"
"39387","150775 SAPUCAIA",2,0,2,91,0,95,"2017"
"39388","150780 SENADOR JOSE PORFIRIO",2,0,1,292,2,297,"2017"
"39389","150790 SOURE",1,1,2,378,0,382,"2017"
"39390","150795 TAILANDIA",3,4,16,1446,3,1472,"2017"
"39391","150796 TERRA ALTA",1,0,2,202,1,206,"2017"
"39392","150797 TERRA SANTA",0,1,5,277,0,283,"2017"
"39393","150800 TOME-ACU",2,8,32,1440,7,1489,"2017"
"39394","150803 TRACUATEUA",2,4,3,550,7,566,"2017"
"39395","150805 TRAIRAO",1,2,9,209,0,221,"2017"
"39396","150808 TUCUMA",1,1,7,692,1,702,"2017"
"39397","150810 TUCURUI",5,5,41,1622,380,2053,"2017"
"39398","150812 ULIANOPOLIS",0,2,14,414,1,431,"2017"
"39399","150815 URUARA",0,1,8,732,2,743,"2017"
"39400","150820 VIGIA",2,3,10,688,4,707,"2017"
"39401","150830 VISEU",1,2,12,886,239,1140,"2017"
"39402","150835 VITORIA DO XINGU",0,2,6,368,1,377,"2017"
"39403","150840 XINGUARA",1,8,17,853,2,881,"2017"
"39404","160005 SERRA DO NAVIO",0,0,1,59,0,60,"2017"
"39405","160010 AMAPA",0,0,3,129,9,141,"2017"
"39406","160015 PEDRA BRANCA DO AMAPARI",1,0,1,211,59,272,"2017"
"39407","160020 CALCOENE",0,0,1,207,2,210,"2017"
"39408","160021 CUTIAS",3,1,0,97,5,106,"2017"
"39409","160023 FERREIRA GOMES",1,1,5,156,1,164,"2017"
"39410","160025 ITAUBAL",0,2,0,109,9,120,"2017"
"39411","160027 LARANJAL DO JARI",2,1,14,787,9,813,"2017"
"39412","160030 MACAPA",28,31,81,9006,123,9269,"2017"
"39413","160040 MAZAGAO",4,3,6,376,61,450,"2017"
"39414","160050 OIAPOQUE",4,6,12,457,78,557,"2017"
"39415","160053 PORTO GRANDE",2,1,4,385,3,395,"2017"
"39416","160055 PRACUUBA",0,0,1,53,26,80,"2017"
